ECG,SpO2,Respiration
-11066.4375,-3351.375,-16039.75
-11038.75,-3286.3125,-15796.5
-10814.75,-3252.5,-15534.125
-10722.125,-3184.25,-15264.25
-10695.1875,-3119.0,-14981.0
-10537.375,-3154.9375,-14826.5
-10445.4375,-3087.8125,-14583.125
-10353.6875,-3069.5,-14413.75
-10196.8125,-3039.75,-14169.0
-10105.625,-3007.25,-14008.625
-10014.6875,-2979.0,-13756.25
-9858.5,-2880.0,-13523.0
-9768.125,-2806.9375,-13185.5
-9678.0,-2682.125,-12982.5
-9588.0,-2598.25,-12671.0
-9498.3125,-2570.375,-12514.125
-9408.9375,-2447.5,-12133.0
-9385.3125,-2366.625,-11799.375
-9296.375,-2293.875,-11495.375
-9273.1875,-2242.0625,-11231.25
-9184.8125,-2144.3125,-10952.875
-9162.1875,-2152.3125,-10800.125
-9139.875,-2198.25,-10516.375
-9117.6875,-2189.0625,-10656.0
-9095.8125,-2249.75,-10830.125
-9074.1875,-2482.9375,-11472.0
-9118.25,-2723.8125,-12878.0
-9097.0625,-3232.0625,-14979.125
-9141.625,-3809.625,-17561.5
-9186.375,-4467.5,-20099.125
-9231.3125,-5029.625,-22364.75
-9341.875,-5429.25,-24183.75
-9452.625,-5710.5625,-25549.75
-9563.625,-5968.625,-26280.875
-9674.6875,-5974.6875,-26863.875
-9851.375,-6027.5,-27068.75
-9962.8125,-6017.4375,-27118.625
-10139.75,-6010.25,-27117.125
-10316.9375,-5917.1875,-26733.875
-10494.1875,-5772.3125,-26438.75
-10671.4375,-5878.25,-26174.625
-10914.3125,-5780.25,-25833.625
-11091.8125,-5636.4375,-25533.0
-11334.75,-5537.5,-25164.75
-11577.75,-5475.75,-24909.0
-11820.6875,-5425.875,-24718.875
-12063.75,-5330.9375,-24428.25
-12306.75,-5226.125,-24139.75
-12615.25,-5206.25,-23928.0
-12858.1875,-5069.3125,-23594.25
-13166.5625,-4889.5,-23230.75
-13409.4375,-4848.625,-23022.75
-13652.3125,-4813.5625,-22794.5
-13960.625,-4785.5,-22581.25
-14203.1875,-4811.25,-22471.25
-14445.75,-4799.125,-22394.75
-14753.75,-4848.75,-22327.25
-14996.0625,-4831.4375,-22415.875
-15238.3125,-4969.75,-22468.375
-15480.3125,-4960.125,-22576.75
-15722.25,-4842.5,-22605.875
-15963.9375,-4854.75,-22673.5
-16139.875,-4914.0,-22629.125
-16381.3125,-4954.0625,-22645.0
-16622.4375,-4886.125,-22681.0
-16798.0,-4941.1875,-22479.125
-16973.3125,-4904.125,-22351.125
-17148.4375,-4811.1875,-22128.875
-17192.4375,-4782.1875,-21885.125
-17367.25,-4724.25,-21677.0
-17476.4375,-4573.3125,-21271.5
-17519.875,-4514.4375,-20885.5
-17628.625,-4364.5,-20557.875
-17737.25,-4342.6875,-20233.375
-17845.6875,-4239.875,-19896.625
-17822.8125,-4059.0625,-19552.625
-17865.25,-4040.3125,-19219.0
-17907.625,-3920.5625,-18865.75
-17949.625,-3829.8125,-18533.125
-17860.5,-3736.125,-18161.375
-17902.125,-3673.3125,-17821.5
-17812.625,-3691.375,-17631.75
-17788.4375,-3617.4375,-17297.75
-17633.0625,-3572.4375,-16998.875
-17543.0625,-3522.3125,-16644.5
-17518.3125,-3445.3125,-16391.5
-17427.875,-3361.375,-16102.875
-17271.75,-3358.375,-15870.25
-17246.5,-3347.25,-15588.75
